,0
0,Arkansas
1,Connecticut
2,Delaware
3,Hawaii
4,Illinois
5,Indiana
6,Minnesota
7,Missouri
8,North Dakota
9,Oklahoma
10,South Dakota
11,Tennessee
12,West Virginia
13,Wisconsin
14,Wyoming
